######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# title :garnet geochemistry of the Voirons nappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date : 2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description : garnet geochemistry (64-125 µm) from QEMScan (SEM-EDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr,F,Er,Re,Ho,Ag,Bi,Tl,Sr
JR349,Alm,,"21,28","3,77","12,23","28,81","8,86",0,0,0,"33,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"18,13","8,06","15,54","29,44","10,86",0,0,0,"26,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"17,67","2,37","14,66","29,18","15,53",0,0,0,"28,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"22,48","4,36","17,58","28,33","13,02",0,0,0,"21,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"22,36",0,"14,25","29,25","3,27",0,0,0,"41,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"17,56","2,22","17,14","29,2","6,65",0,0,0,"38,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"12,23",0,"14,82","30,57","6,82",0,0,"3,68","32,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"22,18",0,"17,72","26,34","9,96",0,0,0,"31,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,23,0,"15,07","29,54","7,03",0,0,0,"33,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"27,27","5,15","18,86","29,96","9,17",0,0,0,"25,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,,"18,26","4,24","15,88","30,28","10,75",0,0,0,"28,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"91,09","16,53","8,33","16,53","29,8","7,51",0,0,"2,03","29,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR349,Alm,"90,13","21,65",0,"14,18","26,09",0,0,0,0,"47,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
