#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# title : Counting grain with QemScan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# date : 2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description : heavy mineral counting of the 64-125 µm range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Counting grain with QemScan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AKS = Andalusite – Kyanite – Sillimanite,# Brl = Beryl,# Chl = Chlorite,,,# Ep = Epidote,,,# Grt = Garnet,,,# Ms = Muscovite,,,# Px = Pyroxenes,,,# Spl = Spinel,,,# Ttn = Titanite – Sphene,,,# O = Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ap = Apatite,# Cb = Carbonates,# Cl = Clay,,,# FeO = Fe Oxides,,,# Hbl = Hornblende,,,# OO = Other oxides,,,# Qz = Quartz,,,# St = Staurolite,,,# Tur = Tourmaline,,,# Xtm = Xenotime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Brt = Barite,# Cst = Cassiterite,# Crn = Corundum,,,# Fsp = Feldspars,,,# Bt = Biotite,,,# Py = Pyrite,,,# Rt = Rutile,,,# Tlc = Talc,,,# Zrn = Zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,site,formation,strati_order,provenance,AKS,Ap,Mnz,Xtm,Brt,Bauxite,Brl,Cb,Cst,Chl,Crn,Ep,FeO.others,Gth,Hem,Ilm,Lim,Mag,Fsp,Gr.undet,Alm,And,Grs,Prp,Sps,Uv,Alm-Prp,Alm-Prp-Grs,Alm-Sps,Hbl,Kln,Bt,Ms,OO,Py,Px,Qz,Rt,Serpentine,Spl,St,Sulfate,Sylvite,Tlc,Ttn,Topaz,Tur.undet,Drv,Srl,Zrn,O
JR5,Bons,Voirons Sandstone,1,Voirons,1,2828,174,0,25,0,0,167,0,587,1,3,152,639,3,350,296,0,1264,29,63,0,2,0,0,0,253,9,12,2,1,6042,264,71,45,5,5272,1684,0,1,65,0,0,0,432,0,263,7,155,625,11544
JR273,Carrière de Fillinges 2,Voirons Sandstone,4,Voirons,12,3881,196,2,2,0,2,2101,0,978,0,1,728,644,6,13,656,3,1848,32,186,0,0,0,0,0,668,5,19,10,44,895,863,22,3628,11,3837,1744,0,2,130,0,0,1,541,0,380,19,312,681,4078
JR329,Carrière des Châteaux des Allinges,Voirons Sandstone,5,Voirons,1,2640,366,6,1,0,4,36,0,696,0,1,448,300,2,15,697,0,3189,66,281,0,3,0,0,0,639,18,70,24,95,419,615,16,531,9,7268,4077,0,8,66,0,0,0,2049,0,887,26,799,1139,1448
JR330,Carrière des Châteaux des Allinges,Voirons Sandstone,6,Voirons,9,3969,621,22,3,0,0,1,2,708,1,3,1680,1248,4,13,2682,0,1730,97,806,0,1,0,0,0,852,53,111,25,125,468,346,1,793,4,2806,5188,0,24,86,0,0,0,1097,0,1161,19,1091,1827,2007
JR341,Sentier du Château des Allinges,Voirons Sandstone,7,Voirons,0,4063,786,0,0,0,0,0,1,53,0,1,41,1679,1,0,1323,0,1189,27,102,0,0,0,0,0,41,8,24,3,14,745,185,49,3,1,2803,2943,0,8,68,0,0,0,267,0,2304,11,2085,1728,3696
JR349,La Janière,Voirons Sandstone,8,Voirons,8,5376,773,1,0,0,0,22,2,86,0,0,17,1469,8,16,203,0,107,22,63,0,0,0,0,0,40,9,33,0,7,86,67,23,1,1,813,6341,0,16,291,0,0,0,1138,0,1133,15,826,4008,1777
JR375,Grotte au Loups,Vouan Conglomerate,9,Vouan,0,3380,259,1,0,0,3,1,0,2380,0,0,606,333,12,15,1180,0,2171,126,4616,0,1,0,0,0,3243,18,70,86,23,1534,1317,132,8,30,2269,3249,0,1,5,0,0,1,1106,0,233,26,45,583,3032
JR331,Torrent de la Molertaz,Vouan Conglomerate,10,Vouan,0,3898,373,0,0,0,1,1,0,733,0,12,43,2078,19,90,722,0,1060,49,1267,0,14,0,0,0,249,2,40,5,46,520,331,91,2,1,1432,3425,0,3,70,0,0,1,598,0,295,6,15,1416,6651
JR370,Torrent de Chauffemérande,Boëge Marl,12,Voirons,49,1552,258,0,212,0,1,5,0,138,3,1,83,111,0,2085,1072,0,3335,179,196,0,8,0,0,0,160,8,26,2,11,1205,287,113,82,1,8610,1360,0,9,83,0,0,0,865,0,432,2,293,1215,7937
JR57,Torrent de Saxel,Boëge Marl,13,Voirons,4,2113,152,0,15,0,4,3,0,2109,0,8,4,78,2,341,75,0,1136,96,979,0,0,0,0,0,447,0,165,63,26,5432,722,6,48,2,1982,1856,0,0,374,0,0,1,399,0,549,7,150,738,9890
