############,,,,,,,,
# title: bed and marly interbed thickness of the Voirons Flysch outcrops,,,,,,,,
# author: Jérémy Ragusa and Lina Maria Ospina-Ostios,,,,,,,,
# date: 2016/07/04,,,,,,,,
############,,,,,,,,
Todo: replace values with formation abbrev. in unit column,,,,,,,,
############,,,,,,,,
outcrop,section,thickness,rock,bed,province,index,unit,comment
Bons,marly,100,g,,Voirons NW,Bons-marly,1,
Bons,marly,20,m,,Voirons NW,Bons-marly,1,
Bons,marly,150,m,,Voirons NW,Bons-marly,1,
Bons,marly,7,g,,Voirons NW,Bons-marly,1,
Bons,marly,23,m,,Voirons NW,Bons-marly,1,
Bons,marly,16,g,,Voirons NW,Bons-marly,1,
Bons,marly,19,m,,Voirons NW,Bons-marly,1,
Bons,marly,10,g,,Voirons NW,Bons-marly,1,
Bons,marly,16,g,,Voirons NW,Bons-marly,1,
Bons,marly,7,m,,Voirons NW,Bons-marly,1,
Bons,marly,13,g,,Voirons NW,Bons-marly,1,
Bons,marly,11,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,g,,Voirons NW,Bons-marly,1,
Bons,marly,8,m,,Voirons NW,Bons-marly,1,
Bons,marly,14,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,m,,Voirons NW,Bons-marly,1,
Bons,marly,7,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,m,,Voirons NW,Bons-marly,1,
Bons,marly,6,g,,Voirons NW,Bons-marly,1,
Bons,marly,27,m,,Voirons NW,Bons-marly,1,
Bons,marly,15,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,58,m,,Voirons NW,Bons-marly,1,
Bons,marly,30,g,,Voirons NW,Bons-marly,1,
Bons,marly,10,m,,Voirons NW,Bons-marly,1,
Bons,marly,10,g,,Voirons NW,Bons-marly,1,
Bons,marly,15,m,,Voirons NW,Bons-marly,1,
Bons,marly,17,g,,Voirons NW,Bons-marly,1,
Bons,marly,17,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,15,m,,Voirons NW,Bons-marly,1,
Bons,marly,10,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,m,,Voirons NW,Bons-marly,1,
Bons,marly,33,g,,Voirons NW,Bons-marly,1,
Bons,marly,6,m,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,12,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,4,g,,Voirons NW,Bons-marly,1,
Bons,marly,5,m,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,20,m,,Voirons NW,Bons-marly,1,
Bons,marly,8,g,,Voirons NW,Bons-marly,1,
Bons,marly,25,m,,Voirons NW,Bons-marly,1,
Bons,marly,10,g,,Voirons NW,Bons-marly,1,
Bons,marly,20,m,,Voirons NW,Bons-marly,1,
Bons,marly,33,g,,Voirons NW,Bons-marly,1,
Bons,marly,31,m,,Voirons NW,Bons-marly,1,
Bons,marly,59,m,,Voirons NW,Bons-marly,1,
Bons,marly,3,m,,Voirons NW,Bons-marly,1,
Bons,marly,8,g,,Voirons NW,Bons-marly,1,
Bons,marly,4,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,2,m,,Voirons NW,Bons-marly,1,
Bons,marly,12,g,,Voirons NW,Bons-marly,1,
Bons,marly,4,m,,Voirons NW,Bons-marly,1,
Bons,marly,14,g,,Voirons NW,Bons-marly,1,
Bons,marly,21,m,,Voirons NW,Bons-marly,1,
Bons,marly,12,g,,Voirons NW,Bons-marly,1,
Bons,marly,10,m,,Voirons NW,Bons-marly,1,
Bons,marly,3,g,,Voirons NW,Bons-marly,1,
Bons,marly,4,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,4,m,,Voirons NW,Bons-marly,1,
Bons,marly,2,g,,Voirons NW,Bons-marly,1,
Bons,marly,20,m,,Voirons NW,Bons-marly,1,
Bons,marly,8,g,,Voirons NW,Bons-marly,1,
Bons,marly,8,m,,Voirons NW,Bons-marly,1,
Bons,marly,8,g,,Voirons NW,Bons-marly,1,
Bons,marly,40,m,,Voirons NW,Bons-marly,1,
Bons,marly,5,g,,Voirons NW,Bons-marly,1,
Bons,marly,80,m,,Voirons NW,Bons-marly,1,
Bons,marly,37,g,,Voirons NW,Bons-marly,1,
Bons,marly,160,m,,Voirons NW,Bons-marly,1,
Bons,sandy,42,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,220,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,5,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,12,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,2,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,7,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,50,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,33,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,23,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,16,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,18,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,2,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,10,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,3,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,10,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,4,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,2,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,6,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,3,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,10,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,23,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,3,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,2,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,3,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,22,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,20,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,20,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,25,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,20,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,35,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,5,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,220,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,15,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,12,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,9,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,18,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,2,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,50,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,5,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,3,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,40,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,10,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,20,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,52,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,13,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,6,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,10,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,6,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,4,m,,Voirons NW,Bons-sandy,1,
Bons,sandy,80,g,,Voirons NW,Bons-sandy,1,
Bons,sandy,25,g,,Voirons NW,Bons-sandy,1,
Saxel inférieure,stream,40,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,37,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,7,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,3,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,20,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,7,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,50,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,20,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,18,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,18,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,160,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,45,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,60,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,140,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,stream,12,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,150,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,140,h,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,200,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,100,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,70,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,1,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,5,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,2,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,55,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,16,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,19,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,4,m,,Voirons NW,Saxel-inf,1,
Saxel inférieure,quarry,80,g,,Voirons NW,Saxel-inf,1,
