Sample,Site,Member,Dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore
JR1,carrière inférieure de Saxel,VS,337,39,1,189,0,0,14,10,37,1,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,85,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,4,0,0,0,0,1,3,0,0,0,0,3
JR2,carrière de Bons,VS,329,6,0,193,0,0,2,3,46,0,0,0,1,0,0,54,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,226,0,0,0,0,0,1,1,3,1,0,0,0,11,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
JR3,carrière de Bons,VS,313,8,0,188,0,0,8,0,29,1,0,0,0,0,0,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,163,0,0,0,0,0,1,2,3,0,0,0,0,18,10,1,0,0,0,0,0,0,1,0,0,1,0,0,2
JR4,carrière de Bons,VS,277,2,0,216,0,0,2,18,6,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,3,0,0,0,0,61,10,7,1,0,0,0,0,0,82,0,0,0,0,0,0
JR5,carrière de Bons,VS,299,3,0,181,0,0,0,2,43,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,333,0,0,0,0,0,0,0,13,7,0,0,0,19,15,18,0,0,0,0,0,0,50,0,0,3,0,0,0
JR6,carrière de Bons,VS,320,9,0,140,0,0,10,2,35,12,0,0,0,0,0,64,0,0,13,0,0,4,1,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,2,1,176,0,0,0,0,0,0,0,2,0,0,0,0,43,1,0,0,2,0,0,0,0,12,1,0,0,0,1,0
JR7,carrière de Bons,VS,336,12,1,70,1,0,24,39,49,7,0,0,0,0,1,56,0,0,13,0,0,10,0,2,0,0,0,0,0,0,26,0,0,0,13,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,306,0,0,0,0,0,0,0,3,7,1,0,2,1,1,4,0,3,2,0,0,1,52,0,0,0,0,4,1
JR8,carrière de Bons,VS,321,0,0,266,0,0,0,4,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,9,2,0,0,0,45,17,3,0,0,0,0,0,0,15,0,0,0,0,0,0
JR9,carrière de Bons,VS,244,3,0,173,0,0,0,0,11,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,1,0,0,0,0,0,9,3,20,0,1,0,0,0,0,47,0,0,0,0,0,0
JR10,carrière de Bons,VS,322,17,0,143,0,0,10,42,21,0,0,0,4,0,0,54,0,0,6,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,230,0,0,0,0,0,0,1,7,0,0,0,0,15,2,10,1,0,0,0,0,0,24,0,0,0,0,0,0
