######,,,,,,,,,,,,
# title : outcrops of the Voirons Flysch,,,,,,,,,,,,
# author : Jérémy Ragusa,,,,,,,,,,,,
# date : 2018-07-19,,,,,,,,,,,,
# description : location and stratigraphic position of outcrops of the Voirons Flysch,,,,,,,,,,,,
######,,,,,,,,,,,,
name_fr,name_en,lon,lat,ele,flysch,formation,member,status,sector,type,log,comments
Boisinges,Boisinges,6.381838,46.153123,750.669434,Voirons,Vouan Conglomerate,NA,NA,Vouan-W,road,no,
Burdignin,Burdignin,6.424698,46.223960,942.691406,Voirons,Bruant Sandstone,NA,NA,GrandeCombe-SE,road,no,Previously affiliated to the Wildflysch (Kerrien1998)
Carrière de Bons,Bons quarry,6.391322,46.255011,833.58252000000005,Voirons,Voirons Sandstone,Bons Sandstone,Lithostratotype of the Bons Sandstone Mb.,Voirons-NW,quarry,yes,Outcrop 2 (JanduChene1975)
Carrière de Fillinges (section 1),Fillinges quarry (section 1),6.3727,46.1538,NA,Voirons,Voirons Sandstone,NA,NA,Vouan-W,quarry,yes,Outcrop 17 (JanduChene1975)
Carrière de Fillinges (section 2),Fillinges quarry (section 2),6.371477,46.154458,564.17529300000001,Voirons,Voirons Sandstone,NA,NA,Vouan-W,quarry,yes,
Carrière de Fillinges (section 3),Fillinges quarry (section 3),6.370992,46.155078,558.166992,Voirons,Voirons Sandstone,NA,NA,Vouan-W,quarry,no,
Carrière de l'Avenue des Allinges (section 1),Allinges avenue quarry (section 1),6.466,46.3304,NA,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,yes,Previously affiliated to the Vouan Conglomerate (Vial1987)
Carrière de l'Avenue des Allinges (section 2),Allinges avenue quarry (section 2),6.465959,46.33036,642,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,yes,Previously affiliated to the Vouan Conglomerate (Vial1987)
Carrière de l'Avenue des Allinges (section 3),Allinges avenue quarry (section 3),6.4657,46.3304,NA,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,yes,Previously affiliated to the Vouan Conglomerate (Vial1987)
Carrière de la Route de Noyer,Noad road quarry,6.473822,46.335816,539,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,no,Previously affiliated to the Vouan Conglomerate (Vial1987)
Carrière de Saint-André-de-Boëge,Saint-André-de-Boëge quarry,6.371938,46.180775,676.408203,Voirons,Vouan Conglomerate,NA,NA,Voirons-E,quarry,yes,Carrière de Mermier (Cogulu1961)
Carrière de Zollhaus,Zollhaus quarry,7.306272,46.717,NA,Gurnigel,NA,NA,NA,SwissPrealps,quarry,no,
Carrière des Fayaux 1,Fayaux quarry 1,6.915346,46.468539,NA,Gurnigel,NA,NA,NA,SwissPrealps,quarry,no,
Carrière du Fenalet,Fenalet quarry,6.8201,46.3873,NA,Voirons,Voirons Sandstone,Fenalet Sandstone,NA,St-Gingolph,quarry,yes,Mapped as Ultrahelvetic (Badoux1965)
Carrière inférieure de Saxel,Saxel lower quarry,6.383562,46.249286,834.54394500000001,Voirons,Voirons Sandstone,NA,NA,Voirons-NW,quarry,yes,Outcrop 1 (JanduChene1975)
Carrière supérieure de Saxel,Saxel upper quarry,6.396003,46.252292,948.69970699999999,Voirons,Vouan Conglomerate,NA,NA,Voirons-NW,quarry,yes,"Previously affiliated to the Voirons Sandstone. Outcrop 6 (JanduChene1975), Carrière de Saxel 2 (Stuijvenberg1980a)"
Château de la Rochette,La Rochette quarry,6.427717,46.291827,NA,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,stream,no,Previously affiliated to the Vouan Conglomerate (Vial1987)
Chez les Bourguignons,Chez les Bourguignons,6.372416,46.160624,NA,Voirons,Voirons Sandstone,NA,NA,Vouan-W,road,yes,
Crête des Voirons 1,Voirons crest 1,6.354287,46.22805,1466.3657229999999,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,Outcrop 18 W cliff (JanduChene1975)
Crête des Voirons 2,Voirons crest 2,6.35366,46.226666,1457.473389,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Crête des Voirons 3,Voirons crest 3,6.353512,46.225141,1462.7607419999999,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Crête des Voirons 4,Voirons crest 4,6.353428,46.223854,1376.9636230000001,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Crête des Voirons 5,Voirons crest 5,6.353427,46.22352,1417.098389,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Crête des Voirons 6,Voirons crest 6,6.353326,46.217355,1427.192139,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
Crête des Voirons 7,Voirons crest 7,6.354239,46.216064,1443.5344239999999,Voirons,Voirons Sandstone,NA,NA,Voirons-W,cliff,yes,
D20 - Bouvet/Rollin (section 1),D20 - Bouvet/Rollin (section 1),6.39545,46.23069,865.30590800000004,Voirons,Boëge Marl,NA,NA,GrandeCombe-W,stream,yes,
D20 - Bouvet/Rollin (section 2),D20 - Bouvet/Rollin (section 2),6.394948,46.229663,868.43017599999996,Voirons,Boëge Marl,NA,NA,GrandeCombe-W,road,yes,
D20 - Talus 820,D20- road bank 820,6.386683,46.250728,838.62939500000005,Voirons,Voirons Sandstone,NA,NA,Voirons-NW,road,yes,Outcrop 4 (JanduChene1975)
D20 - Talus 890,D20- road bank 890,6.391084,46.252289,NA,Voirons,Voirons Sandstone,NA,NA,Voirons-NW,road,yes,
D20 - Talus 902,D20- road bank 902,6.399205,46.253328,NA,Voirons,Vouan Conglomerate,NA,NA,Voirons-NW,road,no,
D50,D50,6.362046,46.229553,1337.790283,Voirons,Voirons Sandstone,NA,NA,Voirons-E,road,no,
Dranse,Dranse,6.520357,46.359738,443.290000,Voirons,Boëge Marl ?,NA,NA,Dranse,river,yes,Thick slump inside
Grande carrière d'Allinges,Allinges large quarry,6.461365,46.332912,564.65600600000005,Voirons,Voirons Sandstone,Allinges Sandstone,NA,Allinges,quarry,no,Previously affiliated to the Vouan Conglomerate (Vial1987). Outcrop 21 (JanduChene1975)
