thin section,geological unit,formation,location,section,bed,lithology,date,support
JR1a,Voirons Flysch,Voirons Sandstone Fm.,Saxel inférieur,,17,,,tin section
JR1b,Voirons Flysch,Voirons Sandstone Fm.,Saxel inférieur,,17,,,thin section
JR2,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,10b,,,thin section
JR3,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,5,,,thin section
JR4,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,7,,,thin section
JR5,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,18,,,thin section
JR6,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,18,,,thin section
JR7,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,39,,,thin section
JR8,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,57,,,thin section
JR9,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,58,,,thin section
JR10,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,63,,,thin section
JR11,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,2,,2009-10-22,thin section
JR12,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,?,,2009-10-22,thin section
JR13,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,18,,2009-10-22,thin section
JR14,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,15c,,2009-10-22,thin section
JR15,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,15c,,2009-10-22,thin section
JR16,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 2,1,,,thin section
JR17a,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 2,7,,,thin section
JR17b,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 2,7,,,thin section
JR18,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 2,13,,,thin section
JR19,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 1,3g,,,thin section
JR20a,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 1,17,,,thin section
JR20b,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 1,17,,,thin section
JR21,Voirons Flysch,Voirons Sandstone Fm.,carrière supérieure de Saxel,Compartiment 1,18b,,,thin section
JR22,Voirons Flysch,Allinges Sandstone Mb.,petite carrière d’Allinges,,base,,2009-12-15,thin section
JR23,Voirons Flysch,Allinges Sandstone Mb.,petite carrière d’Allinges,,av. lamines,,2009-12-15,thin section
JR24,Voirons Flysch,Allinges Sandstone Mb.,sentier du château 1,,,,2009-12-15,thin section
JR25,Voirons Flysch,Allinges Sandstone Mb.,sentier du château 2,,,,2009-12-15,thin section
JR26,Voirons Flysch,Allinges Sandstone Mb.,sentier du château 2,,,,2009-12-15,thin section
JR27,Voirons Flysch,Allinges Sandstone Mb.,sentier du château,,x,clast,2009-12-15,thin section
JR28,Voirons Flysch,Allinges Sandstone Mb.,chemin de la Maladière,Flanc Sud,x,clast,2009-12-15,thin section
JR29,Voirons Flysch,Allinges Sandstone Mb.,Château-Neuf d’Allinges,,x,clast,2009-12-15,thin section
JR30,Voirons Flysch,Allinges Sandstone Mb.,chemin de la Maladière,Flanc Sud,x,clast,2009-12-15,thin section
JR31,Voirons Flysch,Allinges Sandstone Mb.,chemin de la Maladière,Flanc Sud,x,clast,2009-12-15,thin section
JR32,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,,?,,2010-04-20,thin section
JR33,Voirons Flysch,Vouan Conglomerate Fm.,D20 – talus 902,,?,clast,2010-04-16,thin section
JR34,Voirons Flysch,Vouan Conglomerate Fm.,D20 – talus 902,,?,clast,2010-04-16,thin section
JR35,Voirons Flysch,Vouan Conglomerate Fm.,D20 – talus 902,,?,clast,2010-04-16,thin section
JR36,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,Remblais,,2010-04-16,thin section
JR37,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,Remblais,,2010-04-16,thin section
JR38,Voirons Flysch,Voirons Sandstone Fm.,carrière de Bons,,Remblais,,2010-04-16,thin section
JR39,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Affleurement 990,80,,2010-04-25,thin section
JR40,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Affleurement 990,84,,2010-04-25,thin section
JR41,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Niche d'arrachement 975,70,,2010-04-25,thin section
JR42,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Niche d'arrachement 975,69,,2010-04-25,thin section
JR43,Voirons Flysch,Boëge Marl Fm.,Supersaxel,,Remblais,,2010-04-25,thin section
JR44,Voirons Flysch,Boëge Marl Fm.,Torrent de Saxel,Annulé,,marl,2010-04-18,
JR45,Voirons Flysch,Voirons Sandstone Fm.,carrière inférieure de Saxel,,Remblais,,2010-04-16,thin section
JR46,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Partie inférieure,,clast,2010-05-14,thin section
JR47,Voirons Flysch,Vouan Conglomerate Fm.,la Salle 1,,x,,2010-05-14,thin section
JR48,Voirons Flysch,Voirons Sandstone Fm.,route des Monastères,,8d,,2010-05-17,thin section
JR49a,Voirons Flysch,Voirons Sandstone Fm.,Conglomérat du Signal,,x,clast,2010-05-17,thin section
JR49b,Voirons Flysch,Voirons Sandstone Fm.,Conglomérat du Signal,,x,clast,2010-05-17,thin section
JR50,Voirons Flysch,Voirons Sandstone Fm.,Conglomérat du Signal,,x,,2010-05-17,thin section
JR51,Voirons Flysch,Voirons Sandstone Fm.,Crête des Voirons,?,x,,2010-05-17,thin section
JR52,Voirons Flysch,Voirons Sandstone Fm.,pointe de Brantaz,,114,clast,2010-05-17,thin section
JR53,Voirons Flysch,Boëge Marl Fm.,torrent de Saxel,Partie inférieure 1,5 (base),,22/05/2010,thin section
