"name";"lon";"lat";"ele";"description"
"Burdignin";6.424698;46.22396;"942.69140600000003";"Bruant Sandstone"
"Carrière de Bons";6.391322;46.255011;"833.58252000000005";"Voirons Sandstone"
"Carrière de Fillinges (carrière principale)";6.3727;46.1538;NA;"Voirons Sandstone"
"Carrière de Fillinges (seconde carrière)";6.371477;46.154458;"564.17529300000001";"Voirons Sandstone"
"Carrière de Saint-André";6.371938;46.180775;"676.40820299999996";"Vouan Conglomerate"
"Carrière de Zollhaus";7.306272;46.717;NA;"Berra Flysch"
"Carrière de l'Avenue des Allinges (section 1)";6.466;46.3304;NA;"Allinges Sandstone"
"Carrière de l'Avenue des Allinges (section 2)";6.465959;46.33036;"642";"Allinges Sandstone"
"Carrière de l'Avenue des Allinges (section 3)";6.4657;46.3304;NA;"Allinges Sandstone"
"Carrière de la Route de Noyer";6.473822;46.335816;"539";"Allinges Sandstone"
"Carrière des Fayaux 1";6.915346;46.468539;NA;"Fayaux-Pleiades nappe"
"Carrière du Fenalet";6.8201;46.3873;NA;"Fenalet Sandstone"
"Carrière inférieure de Saxel";6.383562;46.249286;"834.54394500000001";"Voirons Sandstone"
"Carrière supérieure de Saxel";6.396003;46.252292;"948.69970699999999";"Vouan Conglomerate"
"Chez les Bourguignons";6.372416;46.160624;NA;"Voirons Sandstone"
"Château de la Rochette";6.427717;46.291827;NA;"Allinges Sandstone"
"Crête des Voirons 1";6.354287;46.22805;"1466.3657229999999";"Voirons Sandstone"
"Crête des Voirons 2";6.35366;46.226666;"1457.473389";"Voirons Sandstone"
"Crête des Voirons 3";6.353512;46.225141;"1462.7607419999999";"Voirons Sandstone"
"Crête des Voirons 4";6.353428;46.223854;"1376.9636230000001";"Voirons Sandstone"
"Crête des Voirons 5";6.353427;46.22352;"1417.098389";"Voirons Sandstone"
"Crête des Voirons 6";6.353326;46.217355;"1427.192139";"Voirons Sandstone"
"Crête des Voirons 7";6.354239;46.216064;"1443.5344239999999";"Voirons Sandstone"
"D20 - Bouvet/Rollin (route)";6.394948;46.229663;"868.43017599999996";"Boëge Marl"
"D20 - Bouvet/Rollin (torrent)";6.39545;46.23069;"865.30590800000004";"Boëge Marl"
"D20 - Talus 820";6.386683;46.250728;"838.62939500000005";"Voirons Sandstone"
"D20 - Talus 890";6.391084;46.252289;NA;"Voirons Sandstone"
"D20 - Talus 902";6.399205;46.253328;NA;"Vouan Conglomerate"
"D50";6.362046;46.229553;"1337.790283";"Voirons Sandstone"
"Grande carrière d'Allinges";6.461365;46.332912;"564.65600600000005";"Allinges Sandstone"
"Grands Bois (section 1)";6.369156;46.241568;"1048.676025";"Voirons Sandstone"
"Grands Bois (section 2)";6.371932;46.239679;"1027.7673339999999";"Voirons Sandstone"
"Grange Sauthier";6.408616;46.23336;"1033.054443";"Boëge Marl"
"Granges Gaillard";6.378074;46.238347;NA;"Voirons Sandstone"
"Grotte aux Loups";6.444376;46.317126;"660.78710899999999";"Vouan Conglomerate"
"La Chavanne";6.418685;46.219912;"843.91650400000003";"Bruant Sandstone"
