name,nappe,flysch,formation,member,sector,type,log,stratigraphy_status,stratigraphy_comments,Pilloud1936,Lombard1940,Kuenen1953,Rigassi1985,Cogulu1961,JanduChene1974,JanduChene1975a,JanduChene1975b,JanduChene1975c,Stuijvenberg1980a,Stuijvenberg1980b,Winkler1985b,Vial1989,Ujetz1996,Charollais1998,Coppo1999,Frebourg2006,Kindler_unpublished,Ragusa2009,Ospina-Ostios2013,Ospina-Ostios2015,Ragusa2015a,reference_comments
Boisinges,Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,road,no,,,,,,,,,,,,,,,,,,,x,,,,,,
Buisson-Rond (Juffly),Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,,no,,,,x,,,,,,,x,,,,,x,x,,,,,,x,,
Burdignin,Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-SE,road,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,x,,,,,,,x,
Carrière de Bons,Gurnigel,Voirons,Voirons Sandstone,Bons Sandstone,Voirons-NW,quarry,yes,lithostratotype,Lithostratotype of the Bons Sandstone Mb.,,,,,x,,,,x,x,,,,x,x,,,x,,,,x,Outcrop 2 (JanduChene1975)
Carrière de Fillinges (carrière principale),Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,quarry,yes,,,,x,,,x,,,,x,x,,,,x,x,,x,x,x,,,x,Outcrop 17 (JanduChene1975)
Carrière de Fillinges (seconde carrière),Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,quarry,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Carrière de l'Avenue des Allinges (section 1),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de l'Avenue des Allinges (section 2),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de l'Avenue des Allinges (section 3),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de la Route de Noyer,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de Saint-André,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,quarry,yes,,,,x,,,x,,,,,,,,,,x,,,,,,,x,Carrière de Mermier (Cogulu1961)
